week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
29,Movie,The Equalizer 2,USA,Action,2018-07-19,False,71,51,AUT,https://flixpatrol.com/title/the-equalizer-2,EUR,2018,7
29,TV Show,The Blacklist,USA,Crime,2013-09-23,True,81,91,AUT,https://flixpatrol.com/title/the-blacklist,EUR,2013,9
28,Movie,Desperados,USA,Comedy,2020-07-03,True,51,15,AUT,https://flixpatrol.com/title/desperados-2020,EUR,2020,7
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69,0,AUT,https://flixpatrol.com/title/warrior-nun,EUR,2020,7
27,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,AUT,https://flixpatrol.com/title/365-days,EUR,2020,6
27,TV Show,The Blacklist,USA,Crime,2013-09-23,True,81,91,AUT,https://flixpatrol.com/title/the-blacklist,EUR,2013,9
26,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,AUT,https://flixpatrol.com/title/365-days,EUR,2020,6
26,TV Show,Modern Family,USA,Comedy,2009-09-23,False,84,0,AUT,https://flixpatrol.com/title/modern-family,EUR,2009,9
25,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,AUT,https://flixpatrol.com/title/365-days,EUR,2020,6
25,TV Show,Rick and Morty,USA,Animated,2013-12-02,False,93,0,AUT,https://flixpatrol.com/title/rick-and-morty,EUR,2013,12
24,Movie,365 Days,Poland,Romance,2020-06-07,False,35,0,AUT,https://flixpatrol.com/title/365-days,EUR,2020,6
24,TV Show,13 Reasons Why,USA,Drama,2017-03-31,True,84,39,AUT,https://flixpatrol.com/title/13-reasons-why,EUR,2017,3
23,Movie,War for the Planet of the Apes,USA,Science Fiction,2017-07-11,False,75,93,AUT,https://flixpatrol.com/title/war-for-the-planet-of-the-apes,EUR,2017,7
23,TV Show,Space Force,USA,Comedy,2020-05-29,True,70,41,AUT,https://flixpatrol.com/title/space-force,EUR,2020,5
22,Movie,Ted,USA,Comedy,2012-06-29,False,70,41,AUT,https://flixpatrol.com/title/ted,EUR,2012,6
22,TV Show,Dynasty,USA,Drama,2017-10-11,True,59,80,AUT,https://flixpatrol.com/title/dynasty-2017,EUR,2017,10
21,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56,25,AUT,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
21,TV Show,White Lines,United Kingdom,Crime,2020-05-15,True,61,64,AUT,https://flixpatrol.com/title/white-lines,EUR,2020,5
20,Movie,The Wrong Missy,USA,Comedy,2020-05-13,True,56,25,AUT,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
20,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42,37,AUT,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
19,Movie,Gifted,USA,Drama,2017-04-12,False,76,73,AUT,https://flixpatrol.com/title/gifted,EUR,2017,4
19,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78,98,AUT,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
18,Movie,Extraction,USA,Action,2020-04-24,True,70,68,AUT,https://flixpatrol.com/title/extraction-2020,EUR,2020,4
18,TV Show,Never Have I Ever,USA,Comedy,2020-04-27,True,78,98,AUT,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
17,Movie,Furious 7,USA,Action,2015-04-03,False,74,80,AUT,https://flixpatrol.com/title/furious-7,EUR,2015,4
17,TV Show,Too Hot to Handle,USA,Reality-Show,2020-04-17,True,42,37,AUT,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
16,Movie,The Meg,USA,Horror,2018-08-10,False,67,46,AUT,https://flixpatrol.com/title/the-meg,EUR,2018,8
16,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,AUT,https://flixpatrol.com/title/money-heist,EUR,2017,5
15,Documentary,Money Heist: The Phenomenon,Spain,Documentary,2020-04-03,True,78,0,AUT,https://flixpatrol.com/title/money-heist-the-phenomenon,EUR,2020,4
15,TV Show,Money Heist,Spain,Action,2017-05-02,True,84,93,AUT,https://flixpatrol.com/title/money-heist,EUR,2017,5
14,Movie,The Platform,Spain,Science Fiction,2020-03-20,True,73,0,AUT,https://flixpatrol.com/title/the-platform,EUR,2020,3
